cluster_id,int_year,int_n_heat_waves,int_days_in_heat_wave,f_year_hw_tmax_vl,f_year_hw_tmin_vl,dt_first_hw_start_date,dt_last_hw_end_date
agg_prov-08_cluster-9,2018,1,7,1.97986791713542,2.23061096645045,2018-07-31,2018-08-06
agg_prov-08_cluster-9,2020,2,6,1.60366287423301,0.822727832352446,2020-07-31,2020-08-11
agg_prov-08_cluster-9,2021,1,5,3.02493403196538,1.40363449961873,2021-08-12,2021-08-16
agg_prov-08_cluster-9,2022,3,25,2.34144922458584,1.65491592884146,2022-07-15,2022-08-14
agg_prov-08_cluster-9,2023,1,7,3.40975553965036,3.09166575983103,2023-08-19,2023-08-25
agg_prov-08_cluster-9,2024,2,11,1.19009983054137,1.35009025946939,2024-08-01,2024-08-12
agg_prov-17_cluster-1,2006,1,4,1.01967861963485,1.2787023016426,2006-07-23,2006-07-26
agg_prov-17_cluster-1,2008,1,3,0.88288100715702,1.01353889227615,2008-08-04,2008-08-06
agg_prov-17_cluster-1,2010,1,3,0.971998678053372,0.887136144916402,2010-07-11,2010-07-13
agg_prov-17_cluster-1,2012,1,4,2.3720005329904,1.74355751325238,2012-08-20,2012-08-23
agg_prov-17_cluster-1,2018,1,8,1.5931146940443,1.70316822193085,2018-07-31,2018-08-07
agg_prov-17_cluster-1,2019,1,4,0.919356332006387,0.88948626001546,2019-07-22,2019-07-25
agg_prov-17_cluster-1,2020,1,3,1.48666930116169,0.544187509326453,2020-07-30,2020-08-01
agg_prov-17_cluster-1,2022,1,5,1.36570318098549,1.10018684269075,2022-07-15,2022-07-19
agg_prov-17_cluster-1,2023,1,6,2.98828613970065,2.64922056851717,2023-08-20,2023-08-25
agg_prov-17_cluster-1,2024,1,5,0.741093661708692,2.12438346882958,2024-08-06,2024-08-10
agg_prov-17_cluster-2,2006,1,3,1.09105332304392,0.846135681524743,2006-07-23,2006-07-25
agg_prov-17_cluster-2,2012,1,4,2.86695694955043,1.7879265001485,2012-08-20,2012-08-23
agg_prov-17_cluster-2,2015,2,7,4.05089575996912,1.34877172006369,2015-07-05,2015-07-18
agg_prov-17_cluster-2,2017,1,4,1.82210325130063,1.58195983812638,2017-08-02,2017-08-05
agg_prov-17_cluster-2,2018,1,5,1.28087867721799,1.48069117442651,2018-08-01,2018-08-05
agg_prov-17_cluster-2,2022,4,14,1.96769364342892,1.62121777626006,2022-06-16,2022-08-13
agg_prov-17_cluster-2,2023,1,6,3.13516819200779,2.58396479875801,2023-08-20,2023-08-25
agg_prov-17_cluster-2,2024,1,3,1.46489461640435,2.13041330511137,2024-08-08,2024-08-10
agg_prov-17_cluster-3,2006,2,8,1.9728262393897,1.35380071104402,2006-07-19,2006-07-27
agg_prov-17_cluster-3,2012,1,5,1.7745284718188,1.33387822706459,2012-08-20,2012-08-24
agg_prov-17_cluster-3,2015,1,4,3.55060190740312,1.28687275289009,2015-07-04,2015-07-07
agg_prov-17_cluster-3,2018,1,7,1.78492594010149,1.9473412999597,2018-07-31,2018-08-06
agg_prov-17_cluster-3,2019,1,5,0.688763877698432,0.745967557883068,2019-07-22,2019-07-26
agg_prov-17_cluster-3,2022,2,8,1.16202449975841,1.520051371572,2022-07-15,2022-08-04
agg_prov-17_cluster-3,2023,1,6,2.71802009787381,2.54889853013885,2023-08-20,2023-08-25
agg_prov-17_cluster-3,2024,1,6,0.787609345467625,2.336769328498,2024-08-05,2024-08-10
agg_prov-17_cluster-4,2006,1,4,1.68956846187106,1.85821435794676,2006-07-23,2006-07-26
agg_prov-17_cluster-4,2008,1,3,0.521297753073668,1.15171827532727,2008-08-04,2008-08-06
agg_prov-17_cluster-4,2012,1,3,1.85343425224727,1.91676325330015,2012-08-21,2012-08-23
agg_prov-17_cluster-4,2018,1,9,2.22119155738825,2.32407831951843,2018-07-30,2018-08-07
agg_prov-17_cluster-4,2019,1,4,0.817292693634698,1.11168514885867,2019-07-22,2019-07-25
agg_prov-17_cluster-4,2022,2,9,1.18674779089599,2.23990687386571,2022-07-15,2022-07-25
agg_prov-17_cluster-4,2023,1,6,2.58905784916903,2.58429864809509,2023-08-20,2023-08-25
agg_prov-17_cluster-4,2024,1,5,0.919243744845755,2.54802621844087,2024-08-06,2024-08-10
agg_prov-17_cluster-5,2006,1,9,1.32230836433827,0.932032878711387,2006-07-19,2006-07-27
agg_prov-17_cluster-5,2012,1,5,1.54655956222006,1.24832986837678,2012-08-20,2012-08-24
agg_prov-17_cluster-5,2013,1,3,0.473661078955161,0.372698608636445,2013-07-26,2013-07-28
agg_prov-17_cluster-5,2015,1,4,2.71973694850293,1.40877843016237,2015-07-04,2015-07-07
